Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression,,,,2022-06-20 12:36:12,2022-06-20 12:37:01,48.983s,PASSED
,,,,,,,
Test Cases/TC001_Search_Flight,,,,2022-06-20 12:36:12,2022-06-20 12:37:01,48.720s,PASSED
"startExistingApplication(App, STOP_ON_FAILURE)",, GIVEN User is on Search Flight Page ,,2022-06-20 12:36:13,2022-06-20 12:36:27,14.279s,PASSED
"waitForElementPresent(findTestObject(""Search Flight/txtFlights""), 15, STOP_ON_FAILURE)",,,,2022-06-20 12:36:27,2022-06-20 12:36:29,2.246s,PASSED
"tap(findTestObject(""Search Flight/txtOneWayTrip""), 0, STOP_ON_FAILURE)",, WHEN User Choose One Way Trip ,,2022-06-20 12:36:29,2022-06-20 12:36:30,0.973s,PASSED
"tap(findTestObject(""Search Flight/btnFrom""), 0, STOP_ON_FAILURE)",, AND User input From Field ,,2022-06-20 12:36:30,2022-06-20 12:36:31,1.233s,PASSED
"waitForElementPresent(findTestObject(""Search Flight/boxSearchCity""), 15, STOP_ON_FAILURE)",,,,2022-06-20 12:36:31,2022-06-20 12:36:33,1.237s,PASSED
"tap(findTestObject(""Search Flight/boxSearchCity""), 0)",,,,2022-06-20 12:36:33,2022-06-20 12:36:33,0.567s,PASSED
"sendKeys(findTestObject(""Search Flight/boxSearchCity""), From, STOP_ON_FAILURE)",,,,2022-06-20 12:36:33,2022-06-20 12:36:35,1.970s,PASSED
"waitForElementPresent(findTestObject(""Search Flight/listCities""), 0)",,,,2022-06-20 12:36:35,2022-06-20 12:36:36,1.046s,PASSED
"tap(findTestObject(""Search Flight/listCities""), 0, STOP_ON_FAILURE)",,,,2022-06-20 12:36:36,2022-06-20 12:36:37,0.513s,PASSED
"tap(findTestObject(""Search Flight/btnTo""), 0, STOP_ON_FAILURE)",, AND User input To Field ,,2022-06-20 12:36:37,2022-06-20 12:36:38,1.477s,PASSED
"waitForElementPresent(findTestObject(""Search Flight/boxSearchCity""), 15, STOP_ON_FAILURE)",,,,2022-06-20 12:36:38,2022-06-20 12:36:39,1.020s,PASSED
"tap(findTestObject(""Search Flight/boxSearchCity""), 0)",,,,2022-06-20 12:36:39,2022-06-20 12:36:40,0.616s,PASSED
"sendKeys(findTestObject(""Search Flight/boxSearchCity""), To, STOP_ON_FAILURE)",,,,2022-06-20 12:36:40,2022-06-20 12:36:42,2.006s,PASSED
"waitForElementPresent(findTestObject(""Search Flight/listCities""), 15)",,,,2022-06-20 12:36:42,2022-06-20 12:36:43,1.078s,PASSED
"tap(findTestObject(""Search Flight/listCities""), 0, STOP_ON_FAILURE)",,,,2022-06-20 12:36:43,2022-06-20 12:36:43,0.476s,PASSED
"tap(findTestObject(""Search Flight/btnDeparatureDate""), 0, STOP_ON_FAILURE)",, AND User choose Form Deparature Date ,,2022-06-20 12:36:43,2022-06-20 12:36:45,1.469s,PASSED
"waitForElementPresent(findTestObject(""Search Flight/listDay""), 15, STOP_ON_FAILURE)",,,,2022-06-20 12:36:45,2022-06-20 12:36:48,2.704s,PASSED
"tap(findTestObject(""Search Flight/listDay""), 0, STOP_ON_FAILURE)",,,,2022-06-20 12:36:48,2022-06-20 12:36:49,1.567s,PASSED
"tap(findTestObject(""Search Flight/btnPassengers""), 0, STOP_ON_FAILURE)",, AND User choose Passengers ,,2022-06-20 12:36:49,2022-06-20 12:36:51,1.443s,PASSED
"waitForElementPresent(findTestObject(""Search Flight/btnSelect""), 15, STOP_ON_FAILURE)",,,,2022-06-20 12:36:51,2022-06-20 12:36:51,0.839s,PASSED
"tap(findTestObject(""Search Flight/btnSelect""), 0, STOP_ON_FAILURE)",,,,2022-06-20 12:36:51,2022-06-20 12:36:53,1.141s,PASSED
"tap(findTestObject(""Search Flight/btnSeatClass""), 0, STOP_ON_FAILURE)",, AND User choose Seat Class ,,2022-06-20 12:36:53,2022-06-20 12:36:53,0.818s,PASSED
"waitForElementPresent(findTestObject(""Search Flight/btnDone""), 15, STOP_ON_FAILURE)",,,,2022-06-20 12:36:53,2022-06-20 12:36:54,0.845s,PASSED
"tap(findTestObject(""Search Flight/txtBusiness""), 0, STOP_ON_FAILURE)",,,,2022-06-20 12:36:54,2022-06-20 12:36:55,0.944s,PASSED
"tap(findTestObject(""Search Flight/btnDone""), 0, STOP_ON_FAILURE)",,,,2022-06-20 12:36:55,2022-06-20 12:36:56,1.014s,PASSED
"tap(findTestObject(""Search Flight/btnCheckBox""), 0, STOP_ON_FAILURE)",, AND User Checlist Include Flexible Tickets  ,,2022-06-20 12:36:56,2022-06-20 12:36:57,0.760s,PASSED
"tap(findTestObject(""Search Flight/btnSearch""), 0, STOP_ON_FAILURE)",, AND User Search Button ,,2022-06-20 12:36:57,2022-06-20 12:36:58,1.204s,PASSED
Thread.sleep(5),, THEN User direct to Search Result ,,2022-06-20 12:36:58,2022-06-20 12:36:58,0.020s,PASSED
"waitForElementPresent(findTestObject(""Search Flight/validationCity""), 15, STOP_ON_FAILURE)",,,,2022-06-20 12:36:58,2022-06-20 12:37:00,2.200s,PASSED
"waitForElementPresent(findTestObject(""Search Flight/validationDate""), 15, STOP_ON_FAILURE)",,,,2022-06-20 12:37:00,2022-06-20 12:37:01,0.378s,PASSED
